Organization Name,Website,General Email,Founder Email,Country,Mission,Focus,Number of diseases,Rare Disease Focus,Confirmed Nonprofit status,founding_year,stakeholder_type,stakeholder_category,Founder names,Website mentions drug repurposing,Does organization utilize a biobank?,Does organization collect contact info?,Does organization utilize a natural history study/registry?,Does organization utilize a communication discussion platform?,Does organization have a formalized research agenda?,Does organization utilize crowdsourcing for research agenda?,Does organization have an SAB/MAB? ,Does organization have formalized treatment guidelines?,Does organization organize a conference?,"Is organization a member of umbrella organizations (NORD, Global genes, etc)?"
Aaron’s Ohtahara,https://sites.google.com/a/ohtahara.org/ohtahara2/,https://sites.google.com/a/ohtahara.org/ohtahara2/contact-us,N/A,United States of America,"Offering hope to families with any child who has been diagnosed with Ohtahara Syndrome.  We strive to accomplish this through support, research, education, and awareness.","Patient education (eg. Patient education conferences, continuing educational resources), External disease awareness, Basic research (how the disease works)",One specific disease,Ohtahara Syndrome (OS),Yes,2010,"Patient's loved one (parent, spouse, etc).",Loved one,Dan and Brianne McDonald,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Rare Epilepsy Network
ACDY5.org,https://www.adcy5.org/,info@ADCY5.org,N/A,United States of America,"ADCY5.org supports families affected by the ADCY5 gene variant, clinicians treating patients, and researchers pursuing treatments or a cure by collaborating or funding efforts.

We search to identify anyone affected by, or interested in, the ADCY5 variant. We engage with others interested in solving our puzzle. We collaborate and share information to move science further. We believe in not reinventing the wheel by sharing data and working as a team.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,ADCY5-related dyskinesia,Yes,2017,"Patient's loved one (parent, spouse, etc).",Loved one,Gay and Steve Grossman,N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance)"
Achalasia Awareness Organization,https://achalasiaawareness.org/,info@achalasiaawareness.org,N/A,United States of America,"to motivate patients, friends, family and the medical community to join in advocacy and the raising of awareness via press, education, events and fundraisers in hopes of finding the causation and cure of Achalasia, a rare autoimmune disease","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Fundraising efforts",One specific disease,Achalasia,Yes,2014,Patient,Patient,Nancy Lazarus,"research paper mentions long-acting nitrates, calcium channel blockers, botulinum toxin, smooth muscle relaxants",Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), Guidestar"
Acid Maltase Deficiency Association (AMDA),https://amda-pompe.org/,info@amda-pompe.org,tiffanylhouse@aol.com,United States of America,"seems to be focused on patient and physician education, and fundraising for research","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Fundraising efforts",One specific disease,Pompe disease,Yes,1995,"Patient's loved one (parent, spouse, etc).",Loved one,Marylyn House,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history registry),N/A,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,NORD
Acoustic Neuroma Association,https://www.anausa.org/,info@anausa.org,director@anausa.org,United States of America,"inform, educate and support those affected by acoustic neuroma brain tumors","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works)",One specific disease,Acoustic neuroma,Yes,1981,Patient,Patient,Virginia Fickel Ehr,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Yes,Unknown (the organization does not mention an annual conference),None Listed
"Acromegaly Community, Inc.",http://www.acromegalycommunity.org,acromegalyinspiration@gmail.com,N/A,United States of America,"OUR MISSION is to provide an emotional and communal support network for people touched by Acromegaly. We offer a central location for medical information on issues including: surgery, medication, radiation, and post diagnosis support. Most importantly, we work to provide a network of emotional support for our Acromegaly patients, their friends and their family.","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines)",One specific disease,Acromegaly,Yes,2010,Unknown,Unknown,Unknown,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance)"
Adenoid Cystic Carcinoma Foundation,https://www.accrf.org/,info@accrf.org,N/A,United States of America,"Our mission is to accelerate the development of improved therapies and a cure for ACC
As a patient-driven organization, ACCRF acts with urgency and care to lay the foundation for success in achieving our mission. Better treatments come from rigorous clinical trials based on clear scientific understanding. Patients must support and drive a vibrant research community to discover a brighter future for those with ACC and their loved ones.","Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Adenoid cystic carcinoma,Yes,2016,Patient,Patient,Marnie Kaufman,"Some physicians prescribe approved cancer drugs “off-label” (i.e., approved for tumor types different from the treated tumor) to their patients who cannot travel to or do not qualify for a clinical trial. Unfortunately, those results are not tabulated and shared with others as is the case with clinical trials.",Yes (the organization utilizes a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),None Listed
ADNP-Kids Research Foundation,https://www.adnpfoundation.org/,ADMIN@adnpfoundation.org,N/A,United States of America,"To advocate and advance the awareness and understanding of ADNP Syndrome / Helsmoortel Van Der Aa Syndrome (ADNPHVS) by supporting research for treatments and drug development, increasing awareness and scientific understanding, promoting individualized specialty care and protocol, supporting families and providing information to help all individuals with ADNP Syndrome realize their full potential and have a better quality of life.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Drug Repurposing, Fundraising efforts",One specific disease,Helsmoortel Van Der Aa Syndrome,Yes,2016,"Patient's loved one (parent, spouse, etc).",Loved one,Sandra Sermone,"Ketamine is already FDA approved safe in children at sedation levels, but this study aims to use low dose levels for treatment.  Ketamine has made headlines recently when it obtained FDA approval in intranasal esketamine (SpravatoÒ) for treatment-resistant depression. However, and important for ADNP syndrome, studies in animal models suggest that low-dose ketamine may increase expression of ADNP in nerve cells. For this reason, treatment with low-dose ketamine may have beneficial effects in individuals with ADNP syndrome by compensating for ADNP insufficiency and could increase the protein and possibly be therapeutic.",No (the organization states that they do not utilize a biobank),Yes,No (the organization states that they do not utilize a natural history registry or study),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,No (the organization states that they do not have published treatment guidelines),Yes,None Listed
Adrenal Alternatives Foundation,https://adrenalalternatives.com/,adrenalalternatives@gmail.com,N/A,United States of America,None. But it seems as if their main focus is addressing adrenal insufficiency with a cortisol pump,"Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), External disease awareness, Fundraising efforts, Policy development and advocacy",One specific disease,Adrenal Insufficiency,Yes,2019,Patient,Patient,Winslow E. Dixon,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Adrenal Insufficiency United (AIU),https://aiunited.org/,contact@aiunited.org,jennifer.k@aiunited.org,United States of America,"At Adrenal Insufficiency United, we work to improve the lives of those affected by adrenal insufficiency through support, education, collaboration, and legislative action.","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Fundraising efforts, Policy development and advocacy",A set of diseases,Adrenal Insufficiency,Yes,2011,"Patient's loved one (parent, spouse, etc).",Loved one,"Jennifer Knapp, Kirsten Norgaard",N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Yes,Yes,"NORD, Global Genes (Rare Foundation Alliance)"
Adult Polyglucosan Body Disease Research Foundation (APBDRF),https://www.apbdrf.org/,info@APBDRF.org,N/A,United States of America,"The Adult Polyglucosan Body Disease Research Foundation works towards:

· Improving the diagnosis and treatment of APBD
· Supporting individuals and families affected by the disease
· Increasing awareness of APBD among health professionals and the public","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,"Adult polyglucosan body disease, Adrenomyeloneuropathy",Yes,2005,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one",Gregory Weiss and his family,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), Chan Zuckerberg Initiative's Rare as One Cohort, Guidestar"
"Advancing Sickle Cell Advocacy Project, Inc.",https://www.advancingsicklecelladvocacyproject.org/,info@asapbeinformed.org,N/A,United States of America,"ASAP’s mission is to change the narrative concerning sickle cell disease by bringing awareness and educating the community, advocating on behalf of sickle cell warriors, and bridging the gap between the medical community and sickle cell clients. We are serving as a voice to the voiceless on a silent disease that needs to be spoken up for.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), External disease awareness, Fundraising efforts, Policy development and advocacy",One specific disease,Sickle cell disease,Yes,2015,Unknown,Unknown,unknown,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Advocacy & Awareness for Immune Disorders Association (AAIDA),https://www.godoaaida.org/,info@godoaaida.org,N/A,United States of America,AAIDA exists to provide support and advocate for the greater than 25 million Americans living with immune disorders.  AAIDA works to promote research and create better awareness of immune disorders.,"Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Disease awareness, Patient advocacy (ex. connecting patients to physicians), Fundraising efforts",A set of diseases,Primary secondary and  immunodeficiency disorders,Yes,2017,"Patient, Physician","Patient, Physician","Lauren Dunlap, Dr. Maeve O'Connor",N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),NORD
AKU Society North America,http://akusocietyna.org/,info@akusocietyna.org,N/A,United States of America,"The mission of the AKU Society of North America is to unite, educate, and raise funds to benefit patients and families affected by alkaptonuria.","Patient education (ex. Flyers, patient education conferences), Patient support (ex. Communication, community connection), Fundraising efforts",One specific disease,Alkaptonuria,Yes,2013,"Unknown, sister website of AKU Society UK",Unknown,N/A,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Alagille Syndrome Alliance,http://alagille.org/,alagille@alagille.org,cher.bork@alagille.org,United States of America,"Mobilizing resources, facilitating connections, promoting unity, and advocating for a cure to inspire, empower, and enrich the lives of people affected by Alagille Syndrome.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), Basic research (how the disease works), Fundraising efforts",One specific disease,Alagille Syndrome,Yes,2016,Unknown,Unknown,Unknown,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, American Liver Foundation, Canadian Liver Foundation, Childhood Liver Disease Research and Education Network, Children’s Liver Association for Support Services (C.L.A.S.S.), Children’s Liver Disease Foundation, Congenital Heart Information Network (C.H.I.N.), Digestive Disease National Coalition, NIH Diabetes, Digestive & Kidney Diseases"
ALD Alliance,https://www.aldalliance.org/,https://www.aldalliance.org/contact.html,Elisa@ALDAlliance.org,United States of America,"The ALD Alliance helps families across the United States that are newly diagnosed with adrenoleukodystrophy (ALD) by giving them the resources they need to fight this rare and devastating disease.  This fight begins by making sure every baby born in the United States is tested at birth for ALD.
The ALD Alliance was established to address the need for information and newborn screening with respect to Adrenoleukodystrophy. In addition, we strive to support and encourage those afflicted and their families as they struggle to endure, adjust and cope with the demands of the disease.","Patient education (eg. Patient education conferences, continuing educational resources), External disease awareness, Policy development and advocacy",One specific disease,Adrenoleukodystrophy,Yes,2013,"Patient's loved one (parent, spouse, etc).",Loved one,Elisa Seeger,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"Global Genes (Rare Foundation Alliance), ALD COnnect, World Leukodystrophy Alliance, Leukodystrophy Care network, Rare Foundation Alliance, Everylife Foundation, Genetic Alliance, Baby's First Test"
ALD Connect,https://aldconnect.org/,info@aldconnect.org,N/A,United States of America,"Focused on improving the quality of life for those living with adrenoleukodystrophy through advocacy, education, research, and support.","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), External disease awareness, Fundraising efforts",One specific disease,Adrenoleukodystrophy,Yes,2013,"Patient, Patient's loved one (parent, spouse, etc)., Physician","Patient, Loved one",N/A,https://aldconnect.org/clinical-trials/,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance)"
All Things Kabuki,https://www.allthingskabuki.org/,https://www.allthingskabuki.org/contact,info@allthingskabuki.org,United States of America,"Our mission is to raise awareness, incite research and support individuals and families affected by Kabuki syndrome. ATK is run by volunteers who put in countless hours to ensure our mission is being fulfilled. 

ATK works hard to create and offer advocacy and awareness resources at no cost to the public.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), External disease awareness, Basic research (how the disease works), Policy development and advocacy",One specific disease,Kabuki syndrome,Yes,2015,"Patient's loved one (parent, spouse, etc).",Loved one,Rene King,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Guidestar"
Alliance for Cryoglobulinemia,http://allianceforcryo.org/,http://allianceforcryo.org/about-us/contact-us/,mvennitti@allianceforcryo.org,United States of America,"The Alliance For Cryoglobulinemia is an inclusive network of patients, caregivers, family, medical professionals and Cryoglobulinemia Ambassadors dedicated to improving the quality of life for people with cryoglobulinemia.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines)",One specific disease,Cryoglobulinemia,Yes,2012,Patient,Patient,Eileen Propp and Marianne Vennitti,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), CORDs"
